"","PA_MUNPCN","n","n_linhas","file"
"238","999999",367211,2954212,"SIA_PA/PASP1910a.dbc"
"239","999999",1384202,4260536,"SIA_PA/PASP1910b.dbc"
"240","350000",69,1158168,"SIA_PA/PASP1910c.dbc"
"241","999999",386089,1158168,"SIA_PA/PASP1910c.dbc"
"242","350000",1,2828237,"SIA_PA/PASP1911a.dbc"
"243","999999",339023,2828237,"SIA_PA/PASP1911a.dbc"
"244","999999",1337653,3912963,"SIA_PA/PASP1911b.dbc"
"245","350000",95,1112508,"SIA_PA/PASP1911c.dbc"
"246","999999",374842,1112508,"SIA_PA/PASP1911c.dbc"
"247","350000",15,2768809,"SIA_PA/PASP1912a.dbc"
"248","999999",343024,2768809,"SIA_PA/PASP1912a.dbc"
"249","999999",1216495,3563657,"SIA_PA/PASP1912b.dbc"
"250","350000",71,1028317,"SIA_PA/PASP1912c.dbc"
"251","999999",356161,1028317,"SIA_PA/PASP1912c.dbc"
"252","350000",2,2669504,"SIA_PA/PASP2001a.dbc"
"253","999999",331872,2669504,"SIA_PA/PASP2001a.dbc"
"254","350000",3,3672507,"SIA_PA/PASP2001b.dbc"
"255","999999",1231960,3672507,"SIA_PA/PASP2001b.dbc"
"256","350000",61,1101767,"SIA_PA/PASP2001c.dbc"
"257","999999",374180,1101767,"SIA_PA/PASP2001c.dbc"
"258","350000",13,2775493,"SIA_PA/PASP2002a.dbc"
"259","999999",344458,2775493,"SIA_PA/PASP2002a.dbc"
"260","999999",1260134,3711170,"SIA_PA/PASP2002b.dbc"
"261","350000",74,1136797,"SIA_PA/PASP2002c.dbc"
"262","999999",365233,1136797,"SIA_PA/PASP2002c.dbc"
"263","350000",1,2650466,"SIA_PA/PASP2003a.dbc"
"264","999999",321703,2650466,"SIA_PA/PASP2003a.dbc"
"265","999999",1219325,3462794,"SIA_PA/PASP2003b.dbc"
"266","350000",90,996472,"SIA_PA/PASP2003c.dbc"
"267","999999",347159,996472,"SIA_PA/PASP2003c.dbc"
"268","350000",1,2060358,"SIA_PA/PASP2004a.dbc"
"269","999999",208492,2060358,"SIA_PA/PASP2004a.dbc"
"270","999999",757239,2031667,"SIA_PA/PASP2004b.dbc"
"271","350000",44,522254,"SIA_PA/PASP2004c.dbc"
"272","999999",203113,522254,"SIA_PA/PASP2004c.dbc"
"273","999999",225982,2056977,"SIA_PA/PASP2005a.dbc"
"274","999999",840968,2216225,"SIA_PA/PASP2005b.dbc"
"275","350000",58,519567,"SIA_PA/PASP2005c.dbc"
"276","999999",209317,519567,"SIA_PA/PASP2005c.dbc"
"277","350000",2,2293551,"SIA_PA/PASP2006a.dbc"
"278","999999",259264,2293551,"SIA_PA/PASP2006a.dbc"
"279","350000",7,2594786,"SIA_PA/PASP2006b.dbc"
"280","999999",970161,2594786,"SIA_PA/PASP2006b.dbc"
"281","350000",52,652354,"SIA_PA/PASP2006c.dbc"
"282","999999",241916,652354,"SIA_PA/PASP2006c.dbc"
"283","350000",4,2460756,"SIA_PA/PASP2007a.dbc"
"284","999999",292850,2460756,"SIA_PA/PASP2007a.dbc"
"285","350000",4,3017647,"SIA_PA/PASP2007b.dbc"
"286","999999",1079463,3017647,"SIA_PA/PASP2007b.dbc"
"287","350000",15,773286,"SIA_PA/PASP2007c.dbc"
"288","999999",277844,773286,"SIA_PA/PASP2007c.dbc"
"289","350000",8,2536899,"SIA_PA/PASP2008a.dbc"
"290","999999",296273,2536899,"SIA_PA/PASP2008a.dbc"
"291","350000",2,3231981,"SIA_PA/PASP2008b.dbc"
"292","999999",1100934,3231981,"SIA_PA/PASP2008b.dbc"
"293","350000",10,1053598,"SIA_PA/PASP2008c.dbc"
"294","999999",288853,1053598,"SIA_PA/PASP2008c.dbc"
"295","350000",188,2654460,"SIA_PA/PASP2009a.dbc"
"296","999999",320414,2654460,"SIA_PA/PASP2009a.dbc"
"297","350000",1,3564423,"SIA_PA/PASP2009b.dbc"
"298","999999",1159592,3564423,"SIA_PA/PASP2009b.dbc"
"299","350000",2,1305196,"SIA_PA/PASP2009c.dbc"
"300","999999",331597,1305196,"SIA_PA/PASP2009c.dbc"
"301","350000",3,2620350,"SIA_PA/PASP2010a.dbc"
"302","999999",319458,2620350,"SIA_PA/PASP2010a.dbc"
"303","350000",3,3866203,"SIA_PA/PASP2010b.dbc"
"304","999999",1206546,3866203,"SIA_PA/PASP2010b.dbc"
"305","350000",3,1347922,"SIA_PA/PASP2010c.dbc"
"306","999999",341090,1347922,"SIA_PA/PASP2010c.dbc"
"307","999999",312205,2659930,"SIA_PA/PASP2011a.dbc"
"308","350000",1,3880084,"SIA_PA/PASP2011b.dbc"
"309","999999",1190137,3880084,"SIA_PA/PASP2011b.dbc"
"310","999999",349394,1354329,"SIA_PA/PASP2011c.dbc"
"311","999999",304508,2641685,"SIA_PA/PASP2012a.dbc"
"312","350000",1,3835537,"SIA_PA/PASP2012b.dbc"
"313","999999",1140743,3835537,"SIA_PA/PASP2012b.dbc"
"314","350000",2,1341681,"SIA_PA/PASP2012c.dbc"
"315","999999",341832,1341681,"SIA_PA/PASP2012c.dbc"
